nom_entreprise;adresse;ville;telephone;telephone_type;site_web;nom_dirigeant;confiance_dirigeant;taille_estimee;horaires_ouverture;creneaux_non_couverts;plainte_telephonique;citation_plainte_telephone;score;categorie_priorite;raison_commerciale;grappe;secteur
Na’Elle beaute;44 Av. Pasteur, 77410 Claye-Souilly, France;Lagny-sur-Marne 77400;01 64 66 05 86;fixe;http://www.naellebeaute.fr/;Veronique Afonso (bellorini);officielle;TPE;lundi: 10:00 – 19:00 | mardi: 10:00 – 19:00 | mercredi: 10:00 – 19:00 | jeudi: 10:00 – 19:00 | vendredi: 10:00 – 19:00 | samedi: 10:00 – 17:00 | dimanche: Fermé;Fermé dimanche;oui;J'ai appelé plusieurs fois au téléphone en vain.;92;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Institut de beauté indépendant avec forte demande de réservations et gestion d'appels critiques ; plainte client explicite sur injoignabilité téléphonique et absence de rappel lors d'annulation, situation que Qalm AI résoudrait 24/7. | 🔥 Plaintes téléphoniques avérées (Saint-Graal) | Prise de RDV / Réservations (standard surchargé en rush/service) | Décideur identifié (Veronique Afonso (bellorini)) | Créneaux critiques (Fermé dimanche)";Beauté;institut de beauté, spa, massage
EV-TECH CENTER;du parc, 13 Av. Joseph Froelicher Lot 7, 77164 Ferrières-en-Brie, France;Lagny-sur-Marne 77400;06 87 46 55 77;mobile;https://evtechcenter.fr/;Enzo Christian Guy Bernasconi;officielle;petite PME (probable);lundi: 08:00 – 19:00 | mardi: 08:00 – 19:00 | mercredi: 08:00 – 19:00 | jeudi: 08:00 – 19:00 | vendredi: 08:00 – 19:00 | samedi: Fermé | dimanche: Fermé;Fermé week-end;oui;j'ai appelé ce matin après avoir essuyé plusieurs refus ou indisponibilités;92;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Garage indépendant spécialisé Tesla avec forte demande urgente (pneu crevé, pannes taxi) ; gestion des appels entrants critique pour capturer les clients en détresse et optimiser les prises de rendez-vous ; Enzo démontre une excellence opérationnelle qui justifie l'investissement dans un standard IA 24/7 pour ne plus perdre de clients. | 🔥 Plaintes téléphoniques avérées (Saint-Graal) | Volume d'avis solide (101) | Ligne mobile → décideur joignable en direct | Décideur identifié (Enzo Christian Guy Bernasconi) | PME structurée (petite PME (probable)) → budget solvable | Créneaux critiques (Fermé week-end)";Auto atelier;garage auto, carrosserie, contrôle technique, concessionnaire
Dupo;4 Rue des Chalands, 77600 Bussy-Saint-Georges, France;Lagny-sur-Marne 77400;09 55 88 88 89;fixe;https://duporotisserie.com/;Mathieu Hak Tan;officielle;TPE;lundi: Fermé | mardi: 10:30 – 14:30, 17:00 – 21:30 | mercredi: 10:30 – 14:30, 17:00 – 21:30 | jeudi: 10:30 – 14:30, 17:00 – 21:30 | vendredi: 10:30 – 14:30, 17:00 – 21:30 | samedi: 10:30 – 14:30, 17:00 – 21:30 | dimanche: 10:30 – 14:30, 17:00 – 21:30;Horaires continus / larges;oui;le patron envisageait que j'essayais de l'arnaquer et m'a dit que j'aurais dû leur téléphoner - ce que j'ai tenter par 3 fois et le lui indiquant il a reconnu que leur téléphone ne fonctionnait pas;90;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Restaurant indépendant avec bon volume client et problème critique de joignabilité téléphonique avéré ; Qalm AI résoudrait les appels manqués pour réservations et commandes à emporter, tout en modernisant la gestion des demandes clients. | 🔥 Plaintes téléphoniques avérées (Saint-Graal) | Prise de RDV / Réservations (standard surchargé en rush/service) | Décideur identifié (Mathieu Hak Tan)";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
Restos Bussy;9 Bd Pierre Mendès France, 77600 Bussy-Saint-Georges, France;Lagny-sur-Marne 77400;01 89 48 05 25;fixe;https://www.restosbussy.fr/;Cherif Greche;officielle;TPE;lundi: 10:00 – 14:30, 18:00 – 22:30 | mardi: 10:00 – 14:30, 18:00 – 22:30 | mercredi: 10:00 – 14:30, 18:00 – 22:30 | jeudi: 10:00 – 14:30, 18:00 – 22:30 | vendredi: 10:00 – 14:30, 18:00 – 23:00 | samedi: 10:00 – 14:30, 18:30 – 22:30 | dimanche: 18:00 – 22:00;Horaires continus / larges;oui;Ne réponds pas au téléphone pendant les vacances ! Et donc pas de prise de commandes par téléphone.;90;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Restaurant/traiteur indépendant avec fort volume de commandes et réservations ; gestion téléphonique défaillante (injoignabilité, absence de réponse) impactant directement les ventes et la satisfaction client, nécessitant un standard IA 24/7 pour capturer tous les appels. | 🔥 Plaintes téléphoniques avérées (Saint-Graal) | Prise de RDV / Réservations (standard surchargé en rush/service) | Décideur identifié (Cherif Greche)";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
Les Toques Gourmandes;1 Rue de Dampmart, 77400 Thorigny-sur-Marne, France;Lagny-sur-Marne 77400;06 23 54 36 73;mobile;https://www.bottin.fr/fiche-locale/jfdjbggaihhgdijjbcb--toque-a-table--lagny-sur-marne.htm;Alain Dutournier;officielle;TPE;lundi: Ouvert 24h/24 | mardi: Ouvert 24h/24 | mercredi: Ouvert 24h/24 | jeudi: Ouvert 24h/24 | vendredi: Ouvert 24h/24 | samedi: Ouvert 24h/24 | dimanche: Ouvert 24h/24;Ouvert 24h/24;oui;Impolitesse et raccroche au nez quand on lui pose une question.;90;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Restaurant-traiteur indépendant avec forte activité événementielle et réservations ; gestion téléphonique défaillante (raccrochages clients) nécessite un standard IA 24/7 pour qualifier les demandes et améliorer la conversion commerciale. | 🔥 Plaintes téléphoniques avérées (Saint-Graal) | Prise de RDV / Réservations (standard surchargé en rush/service) | Ligne mobile → décideur joignable en direct | Décideur identifié (Alain Dutournier) | Créneaux critiques (Ouvert 24h/24)";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
Restaurant-La Locanda;2 Rue de la Mairie, 77450 Jablines, France;Lagny-sur-Marne 77400;01 60 43 81 00;fixe;https://restaurant-la-locanda.fr/;Francesco;haute (certifiée avis);petite PME (probable);lundi: 12:00 – 14:00 | mardi: 12:00 – 14:00, 19:00 – 21:30 | mercredi: 12:00 – 14:00, 19:00 – 21:30 | jeudi: 12:00 – 14:00, 19:00 – 21:30 | vendredi: 12:00 – 14:00, 19:00 – 21:30 | samedi: 19:00 – 21:30 | dimanche: Fermé;Fermé dimanche;oui;Te réponds pas de place , pas d'excuse pas de mise en attente et éventuelle . Un accueil courtois ne coûte rien. Donc appeler si vous voulez déjeuner;90;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Restaurant indépendant italien avec forte réputation culinaire mais gestion téléphonique défaillante (client rapporte absence de réponse et pas de mise en attente) ; Qalm AI automatiserait les réservations et qualification des demandes 24/7 pour transformer cette faiblesse en atout commercial. | 🔥 Plaintes téléphoniques avérées (Saint-Graal) | Prise de RDV / Réservations (standard surchargé en rush/service) | Gros volume d'avis (326) → fort trafic d'appels | Décideur identifié (Francesco) | PME structurée (petite PME (probable)) → budget solvable | Créneaux critiques (Fermé dimanche)";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
Shine up beauty;26 Rue de la Maison Rouge, 77185 Lognes, France;Lagny-sur-Marne 77400;06 15 57 45 17;mobile;https://www.shineupbeauty.com/formation-epilation-au-fil;;;TPE (probable);lundi: Fermé | mardi: 10:00 – 19:00 | mercredi: 10:00 – 19:00 | jeudi: 10:00 – 19:00 | vendredi: 10:00 – 19:00 | samedi: 10:00 – 19:00 | dimanche: Fermé;Fermé dimanche;oui;Je l'appelle plusieurs fois elle ne réponds.;90;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Institut de beauté indépendant avec forte volatilité de gestion téléphonique (clients injoignables, annulations massives) ; Qalm AI stabiliserait la prise de rendez-vous 24/7 et réduirait les no-shows critiques pour ce métier à forte réservation. | 🔥 Plaintes téléphoniques avérées (Saint-Graal) | Prise de RDV / Réservations (standard surchargé en rush/service) | Ligne mobile → décideur joignable en direct | Créneaux critiques (Fermé dimanche)";Beauté;institut de beauté, spa, massage
Les GARAGES 2 CLAYE;Rte de Chelles, 77410 Claye-Souilly, France;Lagny-sur-Marne 77400;01 60 26 49 88;fixe;https://www.allogarage.fr/garages/details-garage-LES-GARAGES-2-CLAYE-52891.html;David Cadet (cadet);officielle;TPE;lundi: 08:00 – 12:00, 13:30 – 18:00 | mardi: 08:30 – 12:00, 13:30 – 18:00 | mercredi: 08:00 – 12:00, 13:30 – 18:00 | jeudi: 08:30 – 12:00, 13:30 – 18:00 | vendredi: 08:30 – 12:00, 13:30 – 18:00 | samedi: Fermé | dimanche: Fermé;Fermé week-end;oui;Juste difficile de les avoir au téléphone;90;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Garage indépendant avec forte demande urgente (interventions week-end, prises en charge rapides) et problème avéré de joignabilité téléphonique ; Qalm AI capturerait les appels 24/7, qualifierait les demandes de réparation/carrosserie et prendrait les réservations automatiquement. | 🔥 Plaintes téléphoniques avérées (Saint-Graal) | Décideur identifié (David Cadet (cadet)) | Créneaux critiques (Fermé week-end)";Auto atelier;garage auto, carrosserie, contrôle technique, concessionnaire
Jardynature;24-30 Av. du Gué Langlois, 77600 Bussy-Saint-Martin, France;Lagny-sur-Marne 77400;06 31 33 06 19;mobile;http://jardynature.fr/;Nicolas Boutoux;officielle;petite PME;Horaires non communiqués;Horaires non communiqués;oui;les messages vocaux ou électroniques restent toujours sans suite;90;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: PME paysagiste indépendante avec problème critique de suivi client (non-réponse aux appels/mails) ; Qalm AI automatiserait la prise d'appels, relances et qualification de devis pour éviter les pertes de chiffre d'affaires et améliorer la satisfaction client. | 🔥 Plaintes téléphoniques avérées (Saint-Graal) | Ligne mobile → décideur joignable en direct | Décideur identifié (Nicolas Boutoux) | PME structurée (10-19) → budget solvable | Créneaux critiques (Horaires non communiqués)";Artisan B2B;frigoriste, climatisation, pisciniste, paysagiste, auto-école
ACCESS GREEN;5 Rue des Longs Sillons, 77700 Magny-le-Hongre, France;Lagny-sur-Marne 77400;06 72 59 75 78;mobile;https://www.access-green.fr/;Mathieu Jusot;officielle;TPE;lundi: 06:00 – 20:00 | mardi: 06:00 – 20:00 | mercredi: 06:00 – 20:00 | jeudi: 06:00 – 20:00 | vendredi: 06:00 – 20:00 | samedi: 06:00 – 20:00 | dimanche: Fermé;Fermé dimanche;oui;Ne répond pas au téléphone, après plusieurs tentatives nous avons réussi à le joindre, il nous a dit qu'il allait passer chez pour réaliser un devis, nous l'avons attendu mais ne s'est jamais présenté et n'a jamais rappelé;90;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Artisan multi-services indépendant (frigoriste, climatisation, piscine, paysage) avec problématique critique de joignabilité et de suivi client ; Qalm AI automatiserait la prise d'appels 24/7, les devis et rappels pour transformer les prospects perdus en chiffre d'affaires. | 🔥 Plaintes téléphoniques avérées (Saint-Graal) | Ligne mobile → décideur joignable en direct | Décideur identifié (Mathieu Jusot) | Créneaux critiques (Fermé dimanche)";Artisan B2B;frigoriste, climatisation, pisciniste, paysagiste, auto-école
